speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
dowwoo,Downy Woodpecker,Dryobates pubescens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1.0,39.9027901,-75.1819754,True,False,False,S353627820,
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1.0,39.9027901,-75.1819754,True,False,False,S353627820,
easkin,Eastern Kingbird,Tyrannus tyrannus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,2.0,39.9027901,-75.1819754,True,False,False,S353627820,
reevir1,Red-eyed Vireo,Vireo olivaceus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1.0,39.9027901,-75.1819754,True,False,False,S353627820,
amecro,American Crow,Corvus brachyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,2.0,39.9027901,-75.1819754,True,False,False,S353627820,
fiscro,Fish Crow,Corvus ossifragus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1.0,39.9027901,-75.1819754,True,False,False,S353627820,
tuftit,Tufted Titmouse,Baeolophus bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1.0,39.9027901,-75.1819754,True,False,False,S353627820,
eursta,European Starling,Sturnus vulgaris,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,6.0,39.9027901,-75.1819754,True,False,False,S353627820,N
normoc,Northern Mockingbird,Mimus polyglottos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1.0,39.9027901,-75.1819754,True,False,False,S353627820,
sonspa,Song Sparrow,Melospiza melodia,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,2.0,39.9027901,-75.1819754,True,False,False,S353627820,
orcori,Orchard Oriole,Icterus spurius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,2.0,39.9027901,-75.1819754,True,False,False,S353627820,
turvul,Turkey Vulture,Cathartes aura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:19:00,1.0,39.9027901,-75.1819754,True,False,False,S353666194,
eawpew,Eastern Wood-Pewee,Contopus virens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:19:00,1.0,39.9027901,-75.1819754,True,False,False,S353666194,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 16:14:00,1.0,39.9027901,-75.1819754,True,False,False,S353680903,
houspa,House Sparrow,Passer domesticus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 16:14:00,1.0,39.9027901,-75.1819754,True,False,False,S353680903,N
chispa,Chipping Sparrow,Spizella passerina,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 16:14:00,1.0,39.9027901,-75.1819754,True,False,False,S353680903,
doccor,Double-crested Cormorant,Nannopterum auritum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 15:14:00,1.0,39.9027901,-75.1819754,True,False,False,S353544644,
grbher3,Great Blue Heron,Ardea herodias,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 15:14:00,1.0,39.9027901,-75.1819754,True,False,False,S353544644,
barswa,Barn Swallow,Hirundo rustica,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 14:18:00,3.0,39.9027901,-75.1819754,True,False,False,S353472202,
houfin,House Finch,Haemorhous mexicanus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 13:41:00,1.0,39.9027901,-75.1819754,True,False,False,S353488646,N
amekes,American Kestrel,Falco sparverius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 10:45:00,1.0,39.9027901,-75.1819754,True,False,False,S353459712,
mallar3,Mallard,Anas platyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 14:30:00,2.0,39.9027901,-75.1819754,True,False,False,S355375439,
doccor,Double-crested Cormorant,Nannopterum auritum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 14:30:00,,39.9027901,-75.1819754,True,False,False,S355375439,
amerob,American Robin,Turdus migratorius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 14:30:00,,39.9027901,-75.1819754,True,False,False,S355375439,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 14:30:00,,39.9027901,-75.1819754,True,False,False,S355375439,
bnhcow,Brown-headed Cowbird,Molothrus ater,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 14:30:00,1.0,39.9027901,-75.1819754,True,False,False,S355375439,
eawvir1,Eastern Warbling Vireo,Vireo gilvus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,1.0,39.9027901,-75.1819754,True,False,False,S355098836,
treswa,Tree Swallow,Tachycineta bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,5.0,39.9027901,-75.1819754,True,False,False,S355098836,
grycat,Gray Catbird,Dumetella carolinensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,4.0,39.9027901,-75.1819754,True,False,False,S355098836,
houfin,House Finch,Haemorhous mexicanus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,4.0,39.9027901,-75.1819754,True,False,False,S355098836,N
orcori,Orchard Oriole,Icterus spurius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,1.0,39.9027901,-75.1819754,True,False,False,S355098836,
balori,Baltimore Oriole,Icterus galbula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,3.0,39.9027901,-75.1819754,True,False,False,S355098836,
comgra,Common Grackle,Quiscalus quiscula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,10.0,39.9027901,-75.1819754,True,False,False,S355098836,
comyel,Common Yellowthroat,Geothlypis trichas,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,1.0,39.9027901,-75.1819754,True,False,False,S355098836,
cangoo,Canada Goose,Branta canadensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1.0,39.9027901,-75.1819754,True,False,False,S354182266,
moudov,Mourning Dove,Zenaida macroura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,4.0,39.9027901,-75.1819754,True,False,False,S354182266,
grbher3,Great Blue Heron,Ardea herodias,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1.0,39.9027901,-75.1819754,True,False,False,S354182266,
turvul,Turkey Vulture,Cathartes aura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,3.0,39.9027901,-75.1819754,True,False,False,S354182266,
baleag,Bald Eagle,Haliaeetus leucocephalus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1.0,39.9027901,-75.1819754,True,False,False,S354182266,
dowwoo,Downy Woodpecker,Dryobates pubescens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1.0,39.9027901,-75.1819754,True,False,False,S354182266,
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1.0,39.9027901,-75.1819754,True,False,False,S354182266,
eursta,European Starling,Sturnus vulgaris,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,7.0,39.9027901,-75.1819754,True,False,False,S354182266,N
houspa,House Sparrow,Passer domesticus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,4.0,39.9027901,-75.1819754,True,False,False,S354182266,N
amegfi,American Goldfinch,Spinus tristis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1.0,39.9027901,-75.1819754,True,False,False,S354182266,
sonspa,Song Sparrow,Melospiza melodia,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,2.0,39.9027901,-75.1819754,True,False,False,S354182266,
norcar,Northern Cardinal,Cardinalis cardinalis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,2.0,39.9027901,-75.1819754,True,False,False,S354182266,
x00004,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:26:00,1.0,39.9027901,-75.1819754,True,False,False,S353945561,
easkin,Eastern Kingbird,Tyrannus tyrannus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:26:00,1.0,39.9027901,-75.1819754,True,False,False,S353945561,
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:26:00,10.0,39.9027901,-75.1819754,True,False,False,S353945561,
