species_code,common_name,scientific_name,location_id,location_name,observation_datetime,bird_count,latitude,longitude
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,3,39.9027901,-75.1819754
easkin,Eastern Kingbird,Tyrannus tyrannus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1,39.9027901,-75.1819754
eawvir1,Eastern Warbling Vireo,Vireo gilvus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1,39.9027901,-75.1819754
treswa,Tree Swallow,Tachycineta bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,2,39.9027901,-75.1819754
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,10,39.9027901,-75.1819754
eursta,European Starling,Sturnus vulgaris,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1,39.9027901,-75.1819754
grycat,Gray Catbird,Dumetella carolinensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,10,39.9027901,-75.1819754
amerob,American Robin,Turdus migratorius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,40,39.9027901,-75.1819754
cedwax,Cedar Waxwing,Bombycilla cedrorum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,3,39.9027901,-75.1819754
houspa,House Sparrow,Passer domesticus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1,39.9027901,-75.1819754
houfin,House Finch,Haemorhous mexicanus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,3,39.9027901,-75.1819754
sonspa,Song Sparrow,Melospiza melodia,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,2,39.9027901,-75.1819754
balori,Baltimore Oriole,Icterus galbula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,3,39.9027901,-75.1819754
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,40,39.9027901,-75.1819754
bnhcow,Brown-headed Cowbird,Molothrus ater,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,5,39.9027901,-75.1819754
comyel,Common Yellowthroat,Geothlypis trichas,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,2,39.9027901,-75.1819754
